Marke,Produkt,Preis,Vorheriger_Preis,Preis_kg,Hinweis,Nur_online,Gueltig_raw,Gueltig_von,Gueltig_bis,Bildpfad
EHRMANN,Grand Dessert,"€ 0,44",1.19,1 kg = 2.32,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_001.jpg
BAUER,Der Große Bauer Fruchtjoghurt,"€ 0,39",0.99,1 kg = 1.56 - 1.74,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_002.jpg
LANGNESE,Cremissimo,"€ 1,79",3.99,1 l = 1.99 - 2.17,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_003.jpg
ORIGINAL WAGNER,Die Backfrische oder Big City Pizza,"€ 1,66",3.49,1 kg = 3.86 - 5.19,,Nein,Dieses Angebot findest du vom 22.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-22,2026-01-28,images_kaufland/kaufland_offer_004.jpg
THÜRINGER LANDWURST,Schweinebraten,"€ 1,19",2.49,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_005.jpg
RÜCKER,Alt-Mecklenburger Tilsiter,"€ 0,99",1.99,Kein Mengenpreis,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_006.jpg
DOVGAN,Taschki Teigtaschen,"€ 1,99",3.99,1 kg = 3.98 - 4.98) / (1 kg = 3.58 - 4.48)**,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_007.jpg
MÜLLER,Frucht-Buttermilch,"€ 0,69",1.39,1 kg = 1.38,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_008.jpg
LEERDAMMER,Holl Schnittkäse,"€ 1,49",2.89,1 kg = 10.65 - 14.90,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_009.jpg
Keine Marke,Südafrik namib Tafeltrauben rot,"€ 1,49",2.79,1 kg = 2.98,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_010.jpg
TOBLERONE,Schokolade,"€ 1,49",2.79,1 kg = 14.90,,Nein,Dieses Angebot findest du vom 26.01. bis 28.01. in deiner Kaufland-Filiale.,2026-01-26,2026-01-28,images_kaufland/kaufland_offer_011.jpg
